run_id	omp	routine	key	size	iters	subject_ns	migrated_ns
par-omp1	1	mswap	-	64	200	48.4	231.5
par-omp1	1	mswap	-	128	200	84.4	264.7
par-omp1	1	mswap	-	256	200	150.4	332.0
par-omp1	1	mswap	-	512	200	282.0	467.4
par-omp1	1	mswap	-	1024	200	793.9	903.5
par-omp1	1	mswap	-	2048	200	1476.9	1665.2
par-omp1	1	mswap	-	4096	200	3083.8	3221.3
par-omp1	1	mswap	-	16384	200	14703.0	13798.7
par-omp1	1	mswap	-	65536	200	53891.2	53977.1
par-omp4	4	mswap	-	64	200	43.9	210.0
par-omp4	4	mswap	-	128	200	76.6	239.4
par-omp4	4	mswap	-	256	200	136.3	320.6
par-omp4	4	mswap	-	512	200	256.0	423.9
par-omp4	4	mswap	-	1024	200	647.4	818.4
par-omp4	4	mswap	-	2048	200	1336.2	1494.8
par-omp4	4	mswap	-	4096	200	2696.0	2857.3
par-omp4	4	mswap	-	16384	200	9673.7	12465.3
par-omp4	4	mswap	-	65536	200	35133.3	52230.3
ob-omp1	1	mswap	-	64	200	38.5	210.4
ob-omp1	1	mswap	-	128	200	60.6	240.1
ob-omp1	1	mswap	-	256	200	112.1	301.8
ob-omp1	1	mswap	-	512	200	205.8	426.7
ob-omp1	1	mswap	-	1024	200	443.4	818.5
ob-omp1	1	mswap	-	2048	200	990.5	1494.2
ob-omp1	1	mswap	-	4096	200	2216.8	2938.2
ob-omp1	1	mswap	-	16384	200	11644.5	13010.5
ob-omp1	1	mswap	-	65536	200	49479.6	54047.2
ob-omp4	4	mswap	-	64	200	38.6	210.5
ob-omp4	4	mswap	-	128	200	60.5	239.8
ob-omp4	4	mswap	-	256	200	113.9	301.6
ob-omp4	4	mswap	-	512	200	205.2	424.3
ob-omp4	4	mswap	-	1024	200	442.1	815.8
ob-omp4	4	mswap	-	2048	200	981.7	1500.2
ob-omp4	4	mswap	-	4096	200	2043.2	2903.7
ob-omp4	4	mswap	-	16384	200	8845.6	12314.8
ob-omp4	4	mswap	-	65536	200	33026.0	51783.1
par-omp1	1	mrotmg	-	200	200	103.3	318.2
par-omp4	4	mrotmg	-	200	200	103.5	318.2
ob-omp1	1	mrotmg	-	200	200	81.9	318.3
ob-omp4	4	mrotmg	-	200	200	80.8	319.1
par-omp1	1	mrotm	-	64	200	911.9	3108.1
par-omp1	1	mrotm	-	128	200	1811.3	5989.8
par-omp1	1	mrotm	-	256	200	3649.9	11824.1
par-omp1	1	mrotm	-	512	200	7189.8	23367.4
par-omp1	1	mrotm	-	1024	200	14386.7	46632.2
par-omp1	1	mrotm	-	2048	200	28866.5	96649.4
par-omp1	1	mrotm	-	4096	200	60209.4	185946.1
par-omp1	1	mrotm	-	16384	200	238486.1	735432.9
par-omp1	1	mrotm	-	65536	100	951545.1	2939988.1
par-omp4	4	mrotm	-	64	200	922.9	3228.5
par-omp4	4	mrotm	-	128	200	1822.3	6047.1
par-omp4	4	mrotm	-	256	200	3815.2	12069.8
par-omp4	4	mrotm	-	512	200	7428.4	23607.0
par-omp4	4	mrotm	-	1024	200	14965.8	46400.9
par-omp4	4	mrotm	-	2048	200	9298.9	92776.0
par-omp4	4	mrotm	-	4096	200	20087.8	185171.1
par-omp4	4	mrotm	-	16384	200	65700.9	740374.7
par-omp4	4	mrotm	-	65536	100	243991.7	2948385.5
ob-omp1	1	mrotm	-	64	200	824.7	2951.6
ob-omp1	1	mrotm	-	128	200	2086.5	5837.5
ob-omp1	1	mrotm	-	256	200	3614.2	11522.2
ob-omp1	1	mrotm	-	512	200	6967.1	22962.2
ob-omp1	1	mrotm	-	1024	200	13567.0	45123.4
ob-omp1	1	mrotm	-	2048	200	26665.6	87204.0
ob-omp1	1	mrotm	-	4096	200	51976.1	176052.6
ob-omp1	1	mrotm	-	16384	200	213017.3	742836.4
ob-omp1	1	mrotm	-	65536	102	858132.5	2897650.8
ob-omp4	4	mrotm	-	64	200	885.3	3144.4
ob-omp4	4	mrotm	-	128	200	1713.7	6050.3
ob-omp4	4	mrotm	-	256	200	3595.5	11887.4
ob-omp4	4	mrotm	-	512	200	7226.8	23765.2
ob-omp4	4	mrotm	-	1024	200	14012.5	48557.2
ob-omp4	4	mrotm	-	2048	200	25954.6	93951.9
ob-omp4	4	mrotm	-	4096	200	54012.7	184111.3
ob-omp4	4	mrotm	-	16384	200	63624.7	750871.9
ob-omp4	4	mrotm	-	65536	97	269093.4	3026150.6
par-omp1	1	mswap	-	64	200	43.9	210.1
par-omp1	1	mswap	-	128	200	76.5	239.7
par-omp1	1	mswap	-	256	200	136.4	302.2
par-omp1	1	mswap	-	512	200	257.0	425.2
par-omp1	1	mswap	-	1024	200	645.0	891.1
par-omp1	1	mswap	-	2048	200	1463.4	1849.5
par-omp1	1	mswap	-	4096	200	2888.9	3066.0
par-omp1	1	mswap	-	16384	200	12912.4	12989.4
par-omp1	1	mswap	-	65536	200	54058.4	54288.8
par-omp4	4	mswap	-	64	200	43.8	210.4
par-omp4	4	mswap	-	128	200	76.6	239.8
par-omp4	4	mswap	-	256	200	136.4	301.6
par-omp4	4	mswap	-	512	200	256.5	423.6
par-omp4	4	mswap	-	1024	200	649.4	818.5
par-omp4	4	mswap	-	2048	200	1342.5	1548.3
par-omp4	4	mswap	-	4096	200	2722.2	2894.0
par-omp4	4	mswap	-	16384	200	9827.8	12976.3
par-omp4	4	mswap	-	65536	200	35091.1	53686.1
ob-omp1	1	mswap	-	64	200	38.4	210.5
ob-omp1	1	mswap	-	128	200	60.1	240.1
ob-omp1	1	mswap	-	256	200	111.7	301.3
ob-omp1	1	mswap	-	512	200	203.4	427.0
ob-omp1	1	mswap	-	1024	200	444.6	821.0
ob-omp1	1	mswap	-	2048	200	996.6	1505.5
ob-omp1	1	mswap	-	4096	200	2097.8	2899.3
ob-omp1	1	mswap	-	16384	200	11659.9	13079.4
ob-omp1	1	mswap	-	65536	200	48986.3	53637.3
ob-omp4	4	mswap	-	64	200	39.1	210.4
ob-omp4	4	mswap	-	128	200	59.9	239.6
ob-omp4	4	mswap	-	256	200	112.8	301.7
ob-omp4	4	mswap	-	512	200	204.4	424.2
ob-omp4	4	mswap	-	1024	200	445.7	817.3
ob-omp4	4	mswap	-	2048	200	996.7	1551.4
ob-omp4	4	mswap	-	4096	200	2058.9	2865.1
ob-omp4	4	mswap	-	16384	200	9310.6	13071.4
ob-omp4	4	mswap	-	65536	200	33737.6	53632.3
par-omp1	1	mrotmg	-	200	200	103.3	318.6
par-omp4	4	mrotmg	-	200	200	102.8	384.1
ob-omp1	1	mrotmg	-	200	200	81.8	319.8
ob-omp4	4	mrotmg	-	200	200	81.2	319.3
par-omp1	1	mrotm	-	64	200	919.0	3206.8
par-omp1	1	mrotm	-	128	200	1817.8	5996.2
par-omp1	1	mrotm	-	256	200	3613.9	11872.5
par-omp1	1	mrotm	-	512	200	7161.3	23381.4
par-omp1	1	mrotm	-	1024	200	14373.6	46469.0
par-omp1	1	mrotm	-	2048	200	28868.0	92653.5
par-omp1	1	mrotm	-	4096	200	57716.5	192604.2
par-omp1	1	mrotm	-	16384	200	236752.5	715273.6
par-omp1	1	mrotm	-	65536	105	909164.8	2819298.6
par-omp4	4	mrotm	-	64	200	884.3	3141.1
par-omp4	4	mrotm	-	128	200	1745.1	6091.3
par-omp4	4	mrotm	-	256	200	3459.8	11719.1
par-omp4	4	mrotm	-	512	200	7341.1	23038.5
par-omp4	4	mrotm	-	1024	200	14710.9	45601.4
par-omp4	4	mrotm	-	2048	200	9488.3	92727.4
par-omp4	4	mrotm	-	4096	200	19409.2	185394.5
par-omp4	4	mrotm	-	16384	200	61562.1	740170.9
par-omp4	4	mrotm	-	65536	99	269733.4	2982006.6
ob-omp1	1	mrotm	-	64	200	852.4	3088.8
ob-omp1	1	mrotm	-	128	200	1697.4	6019.7
ob-omp1	1	mrotm	-	256	200	3349.5	11949.8
ob-omp1	1	mrotm	-	512	200	6647.7	23327.2
ob-omp1	1	mrotm	-	1024	200	13420.0	46757.0
ob-omp1	1	mrotm	-	2048	200	27515.2	92664.6
ob-omp1	1	mrotm	-	4096	200	55293.8	186046.2
ob-omp1	1	mrotm	-	16384	200	212902.0	765794.8
ob-omp1	1	mrotm	-	65536	100	885700.2	2951598.5
ob-omp4	4	mrotm	-	64	200	851.2	3153.6
ob-omp4	4	mrotm	-	128	200	1680.9	6155.6
ob-omp4	4	mrotm	-	256	200	3314.2	12126.3
ob-omp4	4	mrotm	-	512	200	6791.5	23384.4
ob-omp4	4	mrotm	-	1024	200	13915.6	46003.6
ob-omp4	4	mrotm	-	2048	200	27148.0	95451.6
ob-omp4	4	mrotm	-	4096	200	53330.9	181231.2
ob-omp4	4	mrotm	-	16384	200	63938.9	744541.1
ob-omp4	4	mrotm	-	65536	99	232636.7	2977735.0
par-omp1	1	mswap	-	64	200	43.9	209.9
par-omp1	1	mswap	-	128	200	76.5	239.5
par-omp1	1	mswap	-	256	200	136.4	301.7
par-omp1	1	mswap	-	512	200	256.2	442.1
par-omp1	1	mswap	-	1024	200	647.7	816.2
par-omp1	1	mswap	-	2048	200	1344.9	1509.1
par-omp1	1	mswap	-	4096	200	2788.2	2957.5
par-omp1	1	mswap	-	16384	200	13014.7	13031.5
par-omp1	1	mswap	-	65536	200	53785.6	53705.4
par-omp4	4	mswap	-	64	200	42.9	205.2
par-omp4	4	mswap	-	128	200	74.7	234.6
par-omp4	4	mswap	-	256	200	133.2	294.5
par-omp4	4	mswap	-	512	200	250.3	414.4
par-omp4	4	mswap	-	1024	200	632.8	814.3
par-omp4	4	mswap	-	2048	200	1292.7	1656.1
par-omp4	4	mswap	-	4096	200	2823.3	2913.8
par-omp4	4	mswap	-	16384	200	9814.8	12394.2
par-omp4	4	mswap	-	65536	200	37309.6	52539.1
ob-omp1	1	mswap	-	64	200	38.4	243.4
ob-omp1	1	mswap	-	128	200	60.0	239.8
ob-omp1	1	mswap	-	256	200	111.0	301.5
ob-omp1	1	mswap	-	512	200	201.5	425.5
ob-omp1	1	mswap	-	1024	200	443.7	804.0
ob-omp1	1	mswap	-	2048	200	1057.5	1552.3
ob-omp1	1	mswap	-	4096	200	2058.9	2922.6
ob-omp1	1	mswap	-	16384	200	11587.1	13014.9
ob-omp1	1	mswap	-	65536	200	49617.0	53967.5
ob-omp4	4	mswap	-	64	200	38.6	210.6
ob-omp4	4	mswap	-	128	200	60.0	239.9
ob-omp4	4	mswap	-	256	200	114.2	301.7
ob-omp4	4	mswap	-	512	200	221.6	424.5
ob-omp4	4	mswap	-	1024	200	443.8	815.1
ob-omp4	4	mswap	-	2048	200	1002.8	1503.6
ob-omp4	4	mswap	-	4096	200	2124.2	2919.2
ob-omp4	4	mswap	-	16384	200	8651.7	12395.9
ob-omp4	4	mswap	-	65536	200	32964.7	53008.6
par-omp1	1	mrotmg	-	200	200	103.5	318.1
par-omp4	4	mrotmg	-	200	200	102.8	318.2
ob-omp1	1	mrotmg	-	200	200	81.2	318.5
ob-omp4	4	mrotmg	-	200	200	81.0	318.3
par-omp1	1	mrotm	-	64	200	923.1	3145.3
par-omp1	1	mrotm	-	128	200	1809.7	6002.0
par-omp1	1	mrotm	-	256	200	3584.6	11850.1
par-omp1	1	mrotm	-	512	200	7165.5	23361.2
par-omp1	1	mrotm	-	1024	200	15902.5	46494.2
par-omp1	1	mrotm	-	2048	200	30456.1	93319.1
par-omp1	1	mrotm	-	4096	200	59397.2	190743.8
par-omp1	1	mrotm	-	16384	200	242541.2	746367.7
par-omp1	1	mrotm	-	65536	101	938125.5	2914565.1
par-omp4	4	mrotm	-	64	200	928.8	3018.8
par-omp4	4	mrotm	-	128	200	1912.7	6022.6
par-omp4	4	mrotm	-	256	200	3802.2	11828.8
par-omp4	4	mrotm	-	512	200	7609.3	23634.7
par-omp4	4	mrotm	-	1024	200	15072.9	45765.1
par-omp4	4	mrotm	-	2048	200	8742.7	92659.3
par-omp4	4	mrotm	-	4096	200	18862.8	185129.8
par-omp4	4	mrotm	-	16384	200	66103.2	743597.2
par-omp4	4	mrotm	-	65536	99	244342.8	2991475.8
ob-omp1	1	mrotm	-	64	200	865.6	3019.5
ob-omp1	1	mrotm	-	128	200	1799.1	6030.8
